"","DEG","up.results_LO_LC_padj.1","down.results_LO_LC_padj.1"
"1","Down",NA,"GCKDGN103G6VKD_Past"
"2","Down",NA,"GE907925_Past"
"3","Down",NA,"isogroup01462_Past"
"4","Down",NA,"isogroup01691_Past"
"5","Down",NA,"isogroup04997_Past"
"6","Down",NA,"isogroup05143_Past"
"7","Down",NA,"isogroup06592_Past"
"8","Down",NA,"isogroup08892_Past"
"9","Down",NA,"isogroup09124_Past"
"10","Down",NA,"isogroup13348_Past"
"11","Down",NA,"isogroup19433_Past"
"12","Up","isogroup00361_Past",NA
"13","Up","isogroup01270_Past",NA
"14","Up","isogroup01499_Past",NA
"15","Up","isogroup01504_Past",NA
"16","Up","isogroup02059_Past",NA
"17","Up","isogroup02129_Past",NA
"18","Up","isogroup02376_Past",NA
"19","Up","isogroup02942_Past",NA
"20","Up","isogroup03178_Past",NA
"21","Up","isogroup03197_Past",NA
"22","Up","isogroup03539_Past",NA
"23","Up","isogroup03690_Past",NA
"24","Up","isogroup03915_Past",NA
"25","Up","isogroup04919_Past",NA
"26","Up","isogroup05076_Past",NA
"27","Up","isogroup05131_Past",NA
"28","Up","isogroup05746_Past",NA
"29","Up","isogroup06026_Past",NA
"30","Up","isogroup07295_Past",NA
"31","Up","isogroup08086_Past",NA
"32","Up","isogroup08806_Past",NA
"33","Up","isogroup10720_Past",NA
"34","Up","isogroup18894_Past",NA
"35","Up","isogroup19053_Past",NA
"36","Up","isogroup25132_Past",NA
"37","Up","isogroup28285_Past",NA
