	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed
Number of genes	19222	29422
Number of genes in orthogroups	7429	5631
Number of unassigned genes	11793	23791
Percentage of genes in orthogroups	38.6	19.1
Percentage of unassigned genes	61.4	80.9
Number of orthogroups containing species	3246	3099
Percentage of orthogroups containing species	75.2	71.8
Number of species-specific orthogroups	1220	1073
Number of genes in species-specific orthogroups	3713	2971
Percentage of genes in species-specific orthogroups	19.3	10.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	1073	1220
'1	1654	1763
'2	982	988
'3	271	167
'4	131	54
'5	62	38
'6	42	21
'7	21	20
'8	19	13
'9	4	6
'10	7	5
11-15	26	9
16-20	7	5
21-50	14	9
51-100	2	1
101-150	4	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	24.8	28.2
'1	38.3	40.8
'2	22.7	22.9
'3	6.3	3.9
'4	3.0	1.3
'5	1.4	0.9
'6	1.0	0.5
'7	0.5	0.5
'8	0.4	0.3
'9	0.1	0.1
'10	0.2	0.1
11-15	0.6	0.2
16-20	0.2	0.1
21-50	0.3	0.2
51-100	0.0	0.0
101-150	0.1	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	1654	1763
'2	1964	1976
'3	813	501
'4	524	216
'5	310	190
'6	252	126
'7	147	140
'8	152	104
'9	36	54
'10	70	50
11-15	340	107
16-20	122	92
21-50	418	260
51-100	126	52
101-150	501	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	8.6	6.0
'2	10.2	6.7
'3	4.2	1.7
'4	2.7	0.7
'5	1.6	0.6
'6	1.3	0.4
'7	0.8	0.5
'8	0.8	0.4
'9	0.2	0.2
'10	0.4	0.2
11-15	1.8	0.4
16-20	0.6	0.3
21-50	2.2	0.9
51-100	0.7	0.2
101-150	2.6	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
