"","DEG","up.results_OO_LC_padj.1","down.results_OO_LC_padj.1"
"1","Down",NA,"Smic_CassKB8.gene10657.mRNA1_Sym"
"2","Down",NA,"Smic_CassKB8.gene10832.mRNA1_Sym"
"3","Down",NA,"Smic_CassKB8.gene1371.mRNA1_Sym"
"4","Down",NA,"Smic_CassKB8.gene17067.mRNA1_Sym"
"5","Down",NA,"Smic_CassKB8.gene17491.mRNA1_Sym"
"6","Down",NA,"Smic_CassKB8.gene18913.mRNA1_Sym"
"7","Down",NA,"Smic_CassKB8.gene22224.mRNA1_Sym"
"8","Down",NA,"Smic_CassKB8.gene23148.mRNA1_Sym"
"9","Down",NA,"Smic_CassKB8.gene29360.mRNA1_Sym"
"10","Down",NA,"Smic_CassKB8.gene38291.mRNA1_Sym"
"11","Down",NA,"Smic_CassKB8.gene39056.mRNA1_Sym"
"12","Down",NA,"Smic_CassKB8.gene40030.mRNA1_Sym"
"13","Down",NA,"Smic_CassKB8.gene7822.mRNA1_Sym"
"14","Down",NA,"Smic_CassKB8.gene7974.mRNA1_Sym"
"15","Up","Smic_CassKB8.gene11367.mRNA1_Sym",NA
"16","Up","Smic_CassKB8.gene11797.mRNA1_Sym",NA
"17","Up","Smic_CassKB8.gene12276.mRNA1_Sym",NA
"18","Up","Smic_CassKB8.gene1300.mRNA1_Sym",NA
"19","Up","Smic_CassKB8.gene14127.mRNA1_Sym",NA
"20","Up","Smic_CassKB8.gene14187.mRNA1_Sym",NA
"21","Up","Smic_CassKB8.gene14372.mRNA1_Sym",NA
"22","Up","Smic_CassKB8.gene14428.mRNA1_Sym",NA
"23","Up","Smic_CassKB8.gene19186.mRNA1_Sym",NA
"24","Up","Smic_CassKB8.gene2150.mRNA1_Sym",NA
"25","Up","Smic_CassKB8.gene21733.mRNA1_Sym",NA
"26","Up","Smic_CassKB8.gene2305.mRNA1_Sym",NA
"27","Up","Smic_CassKB8.gene24053.mRNA1_Sym",NA
"28","Up","Smic_CassKB8.gene24202.mRNA1_Sym",NA
"29","Up","Smic_CassKB8.gene24655.mRNA1_Sym",NA
"30","Up","Smic_CassKB8.gene24770.mRNA1_Sym",NA
"31","Up","Smic_CassKB8.gene2644.mRNA1_Sym",NA
"32","Up","Smic_CassKB8.gene26556.mRNA1_Sym",NA
"33","Up","Smic_CassKB8.gene26866.mRNA1_Sym",NA
"34","Up","Smic_CassKB8.gene28505.mRNA1_Sym",NA
"35","Up","Smic_CassKB8.gene29396.mRNA1_Sym",NA
"36","Up","Smic_CassKB8.gene29445.mRNA1_Sym",NA
"37","Up","Smic_CassKB8.gene32359.mRNA1_Sym",NA
"38","Up","Smic_CassKB8.gene40330.mRNA1_Sym",NA
"39","Up","Smic_CassKB8.gene40931.mRNA1_Sym",NA
"40","Up","Smic_CassKB8.gene4169.mRNA1_Sym",NA
"41","Up","Smic_CassKB8.gene4308.mRNA1_Sym",NA
"42","Up","Smic_CassKB8.gene455.mRNA1_Sym",NA
"43","Up","Smic_CassKB8.gene5767.mRNA1_Sym",NA
"44","Up","Smic_CassKB8.gene6527.mRNA1_Sym",NA
"45","Up","Smic_CassKB8.gene6714.mRNA1_Sym",NA
"46","Up","Smic_CassKB8.gene8241.mRNA1_Sym",NA
"47","Up","Smic_CassKB8.gene8617.mRNA1_Sym",NA
"48","Up","Smic_CassKB8.gene8743.mRNA1_Sym",NA
"49","Up","Smic_CassKB8.gene997.mRNA1_Sym",NA
